,filename_prefix,Label,structure,PhysicalSize,Roundness,5-EU_0_Mean,5-EU_0_Skewness,SYTOX_0_Mean,SYTOX_0_Sum
185945,20210416_Timecourse5EU_s5_NA,724,nuclei,177.45000000000002,0.8162856595008376,83.46666666666667,-0.2425369280839461,76.57142857142857,8040.0
185946,20210416_Timecourse5EU_s5_NA,725,nuclei,1548.0400000000002,0.8907198562881506,60.18886462882096,1.117694441258639,179.1495633187773,164101.0
185947,20210416_Timecourse5EU_s5_NA,726,nuclei,2504.5800000000004,0.9038688958559624,67.76855600539811,2.925704450400036,91.39541160593792,135448.0
185948,20210416_Timecourse5EU_s5_NA,727,nuclei,86.19000000000001,0.6729459905683777,47.1764705882353,0.9004898256261534,85.0,4335.0
185949,20210416_Timecourse5EU_s5_NA,728,nuclei,138.58,0.6599540053894152,47.84146341463415,0.1069075349224873,112.2439024390244,9204.0
185950,20210416_Timecourse5EU_s5_NA,729,nuclei,429.2600000000001,0.7827948505652402,89.14173228346456,2.3435213545410765,96.1023622047244,24410.0
185951,20210416_Timecourse5EU_s5_NA,730,nuclei,550.94,0.6555079362404654,51.37423312883436,1.5825090182642194,75.56441717791411,24634.0
185952,20210416_Timecourse5EU_s5_NA,731,nuclei,684.45,0.8081558492913041,158.59753086419752,1.7251904346179512,112.95802469135802,45748.0
185953,20210416_Timecourse5EU_s5_NA,732,nuclei,3121.4300000000003,0.9456048562847292,54.25175961017867,2.378145257958808,121.36166756903086,224155.0
185954,20210416_Timecourse5EU_s5_NA,733,nuclei,2611.05,0.9260898538148788,43.69320388349514,2.4178362793288333,112.3980582524272,173655.0
185955,20210416_Timecourse5EU_s5_NA,734,nuclei,2585.7000000000003,0.939104485813688,54.0483660130719,2.37468178741221,130.3424836601307,199424.0
185956,20210416_Timecourse5EU_s5_NA,735,nuclei,437.71,0.8115385048389345,45.424710424710426,3.061612772216615,105.38223938223938,27294.0
185957,20210416_Timecourse5EU_s5_NA,736,nuclei,99.71,0.6172441138665408,48.35593220338984,1.091978089981206,90.69491525423727,5351.0
185958,20210416_Timecourse5EU_s5_NA,737,nuclei,1052.87,0.6671241820926439,65.73836276083468,1.9691515131350832,100.09470304975925,62359.0
185959,20210416_Timecourse5EU_s5_NA,738,nuclei,2458.9500000000003,0.9321358675194676,65.7147766323024,2.503932900629155,82.14639175257732,119523.0
185960,20210416_Timecourse5EU_s5_NA,739,nuclei,2590.7700000000004,0.92378202967593,71.71950424005219,1.633623044509415,158.54664057403784,243052.0
185961,20210416_Timecourse5EU_s5_NA,740,nuclei,1695.0700000000002,0.8639257213821628,66.82153539381855,2.366159802557932,79.86141575274178,80101.0
185962,20210416_Timecourse5EU_s5_NA,741,nuclei,1820.13,0.897919753277752,104.90157845868151,2.764339886530834,72.00742804085422,77552.0
185963,20210416_Timecourse5EU_s5_NA,742,nuclei,231.53000000000003,0.8117122064871074,151.4160583941606,1.5349289795031904,90.88321167883213,12451.0
185964,20210416_Timecourse5EU_s5_NA,743,nuclei,2651.61,0.910796807862539,70.89101338432123,2.065401077547486,137.45379222434673,215665.0
